user_name,n_targets_total,n_m,n_w,B_i,node_type_3class,user_type_raw,verify_typ,verify_typ_known
清风无有亦无限,2,1,0,0.0,ordinary,public,无认证,True
淘气的狗剩,6,0,3,0.0,ordinary,public,无认证,True
清风明月20150418,1,0,1,0.0,ordinary,public,无认证,True
清风明月伴我行zj,1,0,1,0.0,ordinary,public,无认证,True
清风明月金,1,0,1,0.0,ordinary,public,无认证,True
涵暄girl,1,0,1,0.0,ordinary,public,无认证,True
清风尧尧,1,0,1,0.0,ordinary,public,无认证,True
清清努力加油,1,0,1,0.0,wemedia,wemedia,黄V认证,True
淡淡的迷人幽香,1,0,1,0.0,ordinary,public,无认证,True
清醒梦境YLM,1,0,1,0.0,ordinary,public,无认证,True
淘金taojing,1,1,0,0.0,ordinary,public,无认证,True
清醒理智不做没头脑,1,1,0,0.0,ordinary,public,无认证,True
清醒的大糊涂,1,0,1,0.0,ordinary,public,无认证,True
淘茶居Quenty,1,0,1,0.0,ordinary,public,无认证,True
淡淡的影子啊,1,0,1,0.0,ordinary,public,无认证,True
海森堡的兔,1,1,0,0.0,ordinary,public,无认证,True
清风--悠扬,1,1,0,0.0,ordinary,public,无认证,True
海洋的心的围脖,1,0,1,0.0,ordinary,public,无认证,True
清风2216,1,1,0,0.0,ordinary,public,无认证,True
淋过很多次雨丶,1,1,0,0.0,ordinary,public,无认证,True
海洋思蜜达,1,0,1,0.0,ordinary,public,无认证,True
海洋与公爵,2,0,1,0.0,ordinary,public,没有认证,True
清风2314801287,4,0,2,0.0,ordinary,public,无认证,True
海水是咸的6888,1,1,0,0.0,ordinary,public,无认证,True
清静清梨beautty-wonder,1,0,1,0.0,ordinary,public,无认证,True
淡如水3888,1,0,1,0.0,ordinary,public,无认证,True
海边老男人,2,0,1,0.0,ordinary,public,无认证,True
混充很有个性其实并不是,1,0,1,0.0,ordinary,public,无认证,True
淡淡定定168,1,0,1,0.0,ordinary,public,无认证,True
涛涛676_236,1,0,1,0.0,ordinary,public,没有认证,True
深汕发布,1,1,0,0.0,mainstream,government,蓝V认证,True
深夜有话,2,0,1,0.0,ordinary,other,蓝V认证,True
清淡的海风,1,0,1,0.0,ordinary,public,无认证,True
淼箕,1,0,1,0.0,ordinary,public,无认证,True
淼茫0-0,1,1,0,0.0,ordinary,public,无认证,True
涵茜725,1,0,1,0.0,ordinary,public,无认证,True
清丰县法院,1,1,0,0.0,ordinary,other,蓝V认证,True
涟漪nana,1,0,1,0.0,ordinary,public,无认证,True
清净的心境,2,0,1,0.0,ordinary,public,无认证,True
淡墨轻衫1969,1,0,1,0.0,ordinary,public,无认证,True
海边的玫瑰60,1,0,1,0.0,ordinary,public,无认证,True
淹死在鱼里的海,1,0,1,0.0,ordinary,public,无认证,True
涅槃重生3年2025,1,1,0,0.0,ordinary,public,无认证,True
涂木木,1,0,1,0.0,ordinary,public,无认证,True
消费者权益必须保护,1,0,1,0.0,ordinary,public,无认证,True
海鸟飞向远方,1,0,1,0.0,ordinary,public,无认证,True
海鲜粥是黑瞎子是花仙子是坏小子,1,0,1,0.0,ordinary,public,无认证,True
淡泊FeNG,1,1,0,0.0,ordinary,other,蓝V认证,True
涛1229,2,0,2,0.0,ordinary,public,无认证,True
涼風suzukaze,1,1,0,0.0,wemedia,wemedia,黄V认证,True
海里木大大,1,1,0,0.0,ordinary,public,无认证,True
淡淡嘚煙草味,1,0,1,0.0,ordinary,public,无认证,True
淡极的花,2,1,0,0.0,ordinary,public,没有认证,True
淡忘如思e,1,0,1,0.0,ordinary,public,无认证,True
海阔天空6-6,1,0,1,0.0,ordinary,public,无认证,True
淡定山楂,1,0,1,0.0,ordinary,public,无认证,True
深海皮得潘,1,1,0,0.0,ordinary,public,无认证,True
深空长眠,1,1,0,0.0,ordinary,public,无认证,True
淳风拂面,1,0,1,0.0,ordinary,public,无认证,True
淡水资源好珍贵,1,1,0,0.0,ordinary,public,无认证,True
清欢831,1,0,1,0.0,ordinary,public,无认证,True
清水伊凉,1,0,1,0.0,ordinary,public,无认证,True
清水朋友77,1,0,1,0.0,ordinary,public,无认证,True
淡淡小草太阳香,1,0,1,0.0,ordinary,public,无认证,True
清水流殇六等星,1,0,1,0.0,ordinary,public,没有认证,True
海豚hm,1,1,0,0.0,ordinary,public,无认证,True
海蛎子和马,1,0,1,0.0,ordinary,public,无认证,True
清水湾0708,1,0,1,0.0,ordinary,public,无认证,True
清凌6128866422,1,1,0,0.0,ordinary,public,无认证,True
海蓝蓝宝,1,0,1,0.0,ordinary,public,无认证,True
淮北反邪教,1,1,0,0.0,ordinary,other,蓝V认证,True
清汤不是汤v168,1,0,1,0.0,ordinary,public,无认证,True
海绵宝宝派大星在吵架,1,1,0,0.0,ordinary,public,无认证,True
海盗但丁,1,1,0,0.0,ordinary,public,无认证,True
清汤米线,1,1,0,0.0,ordinary,public,无认证,True
清泉水,1,1,0,0.0,ordinary,public,无认证,True
淡静若水1314,1,0,1,0.0,ordinary,public,无认证,True
淮慕瑾,1,0,1,0.0,ordinary,public,无认证,True
海边每一天,1,0,1,0.0,ordinary,public,无认证,True
涡阳防邪,1,1,0,0.0,ordinary,other,蓝V认证,True
清宁小墨,1,0,1,0.0,ordinary,public,无认证,True
深圳热芋圆,1,0,1,0.0,ordinary,public,无认证,True
深圳湾岸线,1,0,1,0.0,ordinary,public,没有认证,True
海边大红袍,4,0,1,0.0,ordinary,public,没有认证,True
