user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
我是希尔瑞思,2022-11-26 08:02:00,2022-11-27 10:03:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-27 10:03:00,2022-11-28 08:16:00,H->H,H,0.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-28 08:16:00,2022-11-28 13:51:00,H->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-28 13:51:00,2022-11-28 15:15:00,H->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-28 15:15:00,2022-11-29 14:17:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-29 14:17:00,2022-11-30 00:08:00,M->H,H,0.25,,4,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-11-30 00:08:00,2022-12-01 11:14:00,H->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-01 11:14:00,2022-12-02 10:57:00,H->H,H,0.26666666666666666,,5,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-02 10:57:00,2022-12-03 09:12:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-03 09:12:00,2022-12-03 11:09:00,M->M,M,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-03 11:09:00,2022-12-03 13:14:00,M->M,M,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-03 13:14:00,2022-12-04 18:53:00,M->H,H,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-04 18:53:00,2022-12-06 10:13:00,H->H,H,0.0,,1,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-06 10:13:00,2022-12-08 06:50:00,H->H,H,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-08 06:50:00,2022-12-08 14:24:00,H->H,H,0.0,,3,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-08 14:24:00,2022-12-08 19:01:00,H->M,M,0.0,,3,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-08 19:01:00,2022-12-09 10:14:00,M->M,M,0.0,,3,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-09 10:14:00,2022-12-09 18:40:00,M->M,M,0.0,,5,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-09 18:40:00,2022-12-09 20:34:00,M->M,M,0.0,,5,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-09 20:34:00,2022-12-10 09:23:00,M->M,M,0.0,,5,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-10 09:23:00,2022-12-11 09:08:00,M->M,M,0.0,,4,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
