time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government
2022-08-16 15:00:00,1,0,,,,,,1,1.0,0,,0
2022-08-16 17:00:00,1,1,,,,,,0,,0,,0
2022-08-16 22:00:00,1,1,,,,,,0,,0,,0
2022-08-17 08:00:00,1,1,,,,,,0,,0,,0
2022-08-17 13:00:00,1,1,,,,,,0,,0,,0
2022-08-17 20:00:00,1,1,,,,,,0,,0,,0
2022-08-18 08:00:00,1,1,,,,,,0,,0,,0
2022-08-18 17:00:00,2,1,,,,,,0,,1,1.0,0
2022-08-19 07:00:00,1,1,,,,,,0,,0,,0
2022-08-20 16:00:00,1,0,,,,,,0,,1,1.0,0
2022-08-22 17:00:00,1,1,,,,,,0,,0,,0
2022-08-26 22:00:00,1,1,,,,,,0,,0,,0
2022-08-29 03:00:00,1,1,,,,,,0,,0,,0
2022-08-29 16:00:00,1,1,,,,,,0,,0,,0
2022-08-30 07:00:00,1,0,,,,,,0,,1,1.0,0
2022-08-30 18:00:00,1,1,,,,,,0,,0,,0
2022-08-31 05:00:00,1,1,,,,,,0,,0,,0
2022-08-31 11:00:00,1,1,,,,,,0,,0,,0
2022-09-01 07:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-02 08:00:00,1,1,,,,,,0,,0,,0
2022-09-03 00:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-03 06:00:00,1,1,,,,,,0,,0,,0
2022-09-04 11:00:00,1,1,,,,,,0,,0,,0
2022-09-04 16:00:00,1,1,,,,,,0,,0,,0
2022-09-04 19:00:00,1,1,,,,,,0,,0,,0
2022-09-06 11:00:00,1,1,,,,,,0,,0,,0
2022-09-07 16:00:00,1,1,,,,,,0,,0,,0
2022-09-07 18:00:00,2,0,,,,,,0,,2,1.0,0
2022-09-08 08:00:00,1,1,,,,,,0,,0,,0
2022-09-09 03:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-09 07:00:00,1,1,,,,,,0,,0,,0
2022-09-10 00:00:00,1,1,,,,,,0,,0,,0
2022-09-10 20:00:00,1,1,,,,,,0,,0,,0
2022-09-11 07:00:00,1,1,,,,,,0,,0,,0
2022-09-11 08:00:00,1,0,,,,,,0,,1,0.0,0
2022-09-11 12:00:00,1,1,,,,,,0,,0,,0
2022-09-12 15:00:00,1,1,,,,,,0,,0,,0
2022-09-13 08:00:00,1,1,,,,,,0,,0,,0
2022-09-13 11:00:00,1,1,,,,,,0,,0,,0
2022-09-14 01:00:00,1,1,,,,,,0,,0,,0
2022-09-14 14:00:00,1,1,,,,,,0,,0,,0
2022-09-14 22:00:00,1,1,,,,,,0,,0,,0
2022-09-15 14:00:00,1,1,,,,,,0,,0,,0
2022-09-16 04:00:00,1,1,,,,,,0,,0,,0
2022-09-16 10:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-16 11:00:00,1,1,,,,,,0,,0,,0
2022-09-16 15:00:00,1,1,,,,,,0,,0,,0
2022-09-17 14:00:00,1,1,,,,,,0,,0,,0
2022-09-17 15:00:00,1,1,,,,,,0,,0,,0
2022-09-18 09:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-18 11:00:00,1,1,,,,,,0,,0,,0
2022-09-18 19:00:00,1,1,,,,,,0,,0,,0
2022-09-18 23:00:00,1,1,,,,,,0,,0,,0
2022-09-19 14:00:00,1,1,,,,,,0,,0,,0
2022-09-20 15:00:00,1,1,,,,,,0,,0,,0
2022-09-20 20:00:00,1,1,,,,,,0,,0,,0
2022-09-21 06:00:00,1,1,,,,,,0,,0,,0
2022-09-21 13:00:00,1,1,,,,,,0,,0,,0
2022-09-21 14:00:00,1,1,,,,,,0,,0,,0
2022-09-21 19:00:00,2,2,,,,,,0,,0,,0
2022-09-22 08:00:00,1,1,,,,,,0,,0,,0
2022-09-22 13:00:00,1,1,,,,,,0,,0,,0
2022-09-23 09:00:00,1,1,,,,,,0,,0,,0
2022-09-23 12:00:00,1,1,,,,,,0,,0,,0
2022-09-24 01:00:00,1,1,,,,,,0,,0,,0
2022-09-24 19:00:00,1,1,,,,,,0,,0,,0
2022-09-25 07:00:00,1,0,,,,,,0,,1,1.0,0
2022-09-26 08:00:00,1,0,,,,,,0,,1,0.0,0
2022-09-28 06:00:00,1,1,,,,,,0,,0,,0
2022-09-28 08:00:00,1,1,,,,,,0,,0,,0
2022-09-30 14:00:00,1,1,,,,,,0,,0,,0
2022-10-02 15:00:00,1,1,,,,,,0,,0,,0
2022-10-03 13:00:00,1,1,,,,,,0,,0,,0
2022-10-04 17:00:00,1,1,,,,,,0,,0,,0
2022-10-05 16:00:00,1,1,,,,,,0,,0,,0
2022-10-07 10:00:00,1,1,,,,,,0,,0,,0
2022-10-07 17:00:00,1,1,,,,,,0,,0,,0
2022-10-08 09:00:00,1,0,,,,,,0,,1,0.0,0
2022-10-09 00:00:00,1,1,,,,,,0,,0,,0
2022-10-09 09:00:00,1,1,,,,,,0,,0,,0
2022-10-10 12:00:00,1,1,,,,,,0,,0,,0
2022-10-10 19:00:00,1,1,,,,,,0,,0,,0
2022-10-11 05:00:00,2,2,,,,,,0,,0,,0
2022-10-11 20:00:00,2,2,,,,,,0,,0,,0
2022-10-12 12:00:00,1,0,,,,,,0,,0,,0
2022-10-13 08:00:00,2,2,,,,,,0,,0,,0
2022-10-13 10:00:00,1,1,,,,,,0,,0,,0
2022-10-13 21:00:00,1,1,,,,,,0,,0,,0
2022-10-13 23:00:00,1,1,,,,,,0,,0,,0
2022-10-14 08:00:00,2,2,,,,,,0,,0,,0
2022-10-14 10:00:00,1,0,,,,,,1,1.0,0,,0
2022-10-14 11:00:00,1,1,,,,,,0,,0,,0
2022-10-14 12:00:00,3,3,,,,,,0,,0,,0
2022-10-14 13:00:00,1,1,,,,,,0,,0,,0
2022-10-14 14:00:00,1,1,,,,,,0,,0,,0
2022-10-14 15:00:00,1,1,,,,,,0,,0,,0
2022-10-14 16:00:00,2,2,,,,,,0,,0,,0
2022-10-14 17:00:00,1,1,,,,,,0,,0,,0
2022-10-14 20:00:00,1,1,,,,,,0,,0,,0
2022-10-15 07:00:00,1,1,,,,,,0,,0,,0
2022-10-15 09:00:00,1,1,,,,,,0,,0,,0
2022-10-15 10:00:00,1,0,,,,,,0,,1,1.0,0
2022-10-15 11:00:00,2,2,,,,,,0,,0,,0
2022-10-15 18:00:00,1,1,,,,,,0,,0,,0
2022-10-15 20:00:00,1,1,,,,,,0,,0,,0
2022-10-16 17:00:00,1,0,,,,,,0,,0,,0
2022-10-17 20:00:00,1,1,,,,,,0,,0,,0
2022-10-18 13:00:00,1,1,,,,,,0,,0,,0
2022-10-18 14:00:00,1,1,,,,,,0,,0,,0
2022-10-19 09:00:00,1,1,,,,,,0,,0,,0
2022-10-20 07:00:00,1,0,,,,,,0,,0,,0
2022-10-20 15:00:00,1,1,,,,,,0,,0,,0
2022-10-20 16:00:00,1,1,,,,,,0,,0,,0
2022-10-21 07:00:00,1,0,,,,,,0,,1,0.0,0
2022-10-21 12:00:00,1,1,,,,,,0,,0,,0
2022-10-22 09:00:00,1,1,,,,,,0,,0,,0
2022-10-22 14:00:00,1,1,,,,,,0,,0,,0
2022-10-22 15:00:00,1,1,,,,,,0,,0,,0
2022-10-22 23:00:00,1,0,,,,,,0,,1,1.0,0
2022-10-26 15:00:00,1,1,,,,,,0,,0,,0
2022-10-27 00:00:00,1,1,,,,,,0,,0,,0
2022-10-28 13:00:00,1,1,,,,,,0,,0,,0
2022-10-28 15:00:00,1,0,,,,,,0,,1,1.0,0
2022-10-29 12:00:00,1,1,,,,,,0,,0,,0
2022-10-29 20:00:00,1,1,,,,,,0,,0,,0
2022-10-30 18:00:00,1,1,,,,,,0,,0,,0
2022-10-30 19:00:00,1,1,,,,,,0,,0,,0
2022-10-31 10:00:00,1,1,,,,,,0,,0,,0
2022-11-01 11:00:00,1,0,,,,,,0,,0,,0
2022-11-01 16:00:00,1,1,,,,,,0,,0,,0
2022-11-01 22:00:00,1,1,,,,,,0,,0,,0
2022-11-01 23:00:00,1,1,,,,,,0,,0,,0
2022-11-02 09:00:00,1,1,,,,,,0,,0,,0
2022-11-02 11:00:00,1,1,,,,,,0,,0,,0
2022-11-02 12:00:00,1,1,,,,,,0,,0,,0
2022-11-02 13:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-02 14:00:00,1,1,,,,,,0,,0,,0
2022-11-02 18:00:00,1,1,,,,,,0,,0,,0
2022-11-03 06:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-04 09:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-04 12:00:00,1,1,,,,,,0,,0,,0
2022-11-04 22:00:00,1,1,,,,,,0,,0,,0
2022-11-05 00:00:00,1,1,,,,,,0,,0,,0
2022-11-05 09:00:00,1,1,,,,,,0,,0,,0
2022-11-05 11:00:00,2,2,,,,,,0,,0,,0
2022-11-05 12:00:00,1,1,,,,,,0,,0,,0
2022-11-07 00:00:00,1,1,,,,,,0,,0,,0
2022-11-07 19:00:00,1,1,,,,,,0,,0,,0
