user_name,n_interactions_network,n_interactions_comment,n_total_interactions,n_m,n_w,exposure_group,targets_mainstream,targets_wemedia,active_days_interaction,n_posts,active_days_post,active_days
吉星拱照1419,13,0,13,1,3,dual,陕西汉书下酒,得意的弦小二|静姐姐吃的学问|马宝琳谈房颤,1,2,2,2
沙加荼吉尼天,1,12,13,0,1,wemedia_only,,娱头,2,0,0,2
咪眼波斯猫,0,13,13,0,0,no_media,,,11,0,0,11
二十八画门徒,12,1,13,0,0,no_media,,,3,0,0,3
明天的明1230,11,1,12,0,1,wemedia_only,,中医张恒毅,4,5,5,5
波浪女郎,12,0,12,1,2,dual,陕西汉书下酒,中医张恒毅|马宝琳谈房颤,3,18,16,16
精彩东方,5,7,12,0,0,no_media,,,4,6,5,5
卧虎老老,7,5,12,0,2,wemedia_only,,Creamy蕉|我是小妖怪的人,2,1,1,2
岐黄小徒微博,8,4,12,0,1,wemedia_only,,中医蔡良俊,4,0,0,4
叶行舟_作者大大们今天更新了吗,12,0,12,0,0,no_media,,,2,2,2,2
魅力美丽永恒朝夕,0,12,12,0,0,no_media,,,1,0,0,1
鼓荨,0,12,12,0,3,wemedia_only,,Tloml-Ju|卧蚕撞上了梨涡儿|娱头,2,0,0,2
九碥技术华泰砭石,12,0,12,0,0,no_media,,,9,55,46,46
星星leo_,12,0,12,0,1,wemedia_only,,九吃,7,15,14,14
随缘度世林一生,12,0,12,0,0,no_media,,,11,24,21,21
我只想要健康666,0,12,12,0,1,wemedia_only,,中医张恒毅,11,0,0,11
是个观众啦,1,11,12,0,2,wemedia_only,,北欧三宝妈|医学科普阿源老师,1,0,0,1
圆环之手,12,0,12,0,1,wemedia_only,,Creamy蕉,6,9,9,9
人间一束花,6,6,12,0,1,wemedia_only,,代县胡永胜,6,0,0,6
揪鸠就酒,11,1,12,0,1,wemedia_only,,Apocalypse-锐,3,7,7,7
方糖山楂片,9,3,12,0,0,no_media,,,3,2,2,3
青尘3141,12,0,12,0,1,wemedia_only,,青尘3141,12,32,31,31
维卡斯啦啦啦啦啦,12,0,12,0,1,wemedia_only,,知你青年陈锦,3,8,8,8
还必须说不定不,11,1,12,3,0,mainstream_only,每日经济新闻|第一财经日报|观察者网,,6,11,11,11
想要一只会说话的喵,0,12,12,0,0,no_media,,,7,1,1,7
知行合一_2023-3,12,0,12,1,1,dual,陕西汉书下酒,马宝琳谈房颤,6,6,6,6
茫茫本尊,4,8,12,1,1,dual,陕西汉书下酒,马宝琳谈房颤,5,2,1,5
HOZEN君,0,12,12,0,0,no_media,,,5,0,0,5
中医妇儿林波,7,5,12,0,0,no_media,,,5,2,2,5
bestwishesFbx,0,12,12,0,0,no_media,,,4,0,0,4
珠算侠,0,12,12,0,0,no_media,,,4,0,0,4
一只little_MQ,6,6,12,0,0,no_media,,,5,0,0,5
中医唐伟,4,8,12,0,0,no_media,,,7,6,6,7
