exposure_group,week,n_transitions,upgrade_rate,cooling_rate
dual,2024-12-09/2024-12-15,4,0.0,0.0
mainstream_only,2024-12-09/2024-12-15,2,0.0,0.0
wemedia_only,2024-12-09/2024-12-15,7,0.2857142857142857,0.14285714285714285
dual,2024-12-16/2024-12-22,2,0.0,1.0
mainstream_only,2024-12-16/2024-12-22,1,0.0,0.0
wemedia_only,2024-12-16/2024-12-22,10,0.0,0.3
dual,2024-12-23/2024-12-29,3,0.0,0.0
mainstream_only,2024-12-23/2024-12-29,5,0.0,0.0
wemedia_only,2024-12-23/2024-12-29,1,1.0,0.0
dual,2024-12-30/2025-01-05,1,0.0,0.0
wemedia_only,2024-12-30/2025-01-05,2,0.0,0.0
dual,2025-01-06/2025-01-12,2,0.0,0.0
wemedia_only,2025-01-06/2025-01-12,3,0.0,0.0
dual,2025-01-13/2025-01-19,1,0.0,1.0
wemedia_only,2025-01-13/2025-01-19,2,0.5,0.0
mainstream_only,2025-01-20/2025-01-26,3,0.0,0.0
wemedia_only,2025-01-20/2025-01-26,7,0.0,0.0
wemedia_only,2025-01-27/2025-02-02,2,0.0,0.0
mainstream_only,2025-02-03/2025-02-09,4,0.0,0.0
wemedia_only,2025-02-03/2025-02-09,3,0.3333333333333333,0.3333333333333333
dual,2025-02-10/2025-02-16,2,0.0,0.5
wemedia_only,2025-02-10/2025-02-16,5,0.4,0.2
dual,2025-02-17/2025-02-23,1,0.0,0.0
wemedia_only,2025-02-17/2025-02-23,3,0.0,0.3333333333333333
wemedia_only,2025-02-24/2025-03-02,2,0.0,0.0
dual,2025-03-03/2025-03-09,1,0.0,0.0
wemedia_only,2025-03-03/2025-03-09,2,0.5,0.0
dual,2025-03-10/2025-03-16,1,1.0,0.0
mainstream_only,2025-03-10/2025-03-16,1,0.0,0.0
wemedia_only,2025-03-10/2025-03-16,3,0.0,0.3333333333333333
dual,2025-03-17/2025-03-23,1,0.0,0.0
wemedia_only,2025-03-17/2025-03-23,2,0.5,0.0
wemedia_only,2025-03-24/2025-03-30,4,0.0,0.25
dual,2025-04-07/2025-04-13,1,0.0,1.0
mainstream_only,2025-04-07/2025-04-13,1,0.0,1.0
wemedia_only,2025-04-07/2025-04-13,5,0.0,0.0
dual,2025-04-14/2025-04-20,1,1.0,0.0
wemedia_only,2025-04-14/2025-04-20,3,0.0,0.0
dual,2025-04-28/2025-05-04,1,0.0,0.0
wemedia_only,2025-04-28/2025-05-04,1,0.0,0.0
wemedia_only,2025-05-05/2025-05-11,5,0.0,0.0
dual,2025-05-12/2025-05-18,3,0.3333333333333333,0.0
mainstream_only,2025-05-12/2025-05-18,5,0.0,0.2
wemedia_only,2025-05-12/2025-05-18,1,1.0,0.0
dual,2025-05-19/2025-05-25,5,0.0,0.4
mainstream_only,2025-05-19/2025-05-25,9,0.0,0.0
wemedia_only,2025-05-19/2025-05-25,8,0.125,0.125
dual,2025-05-26/2025-06-01,1,0.0,0.0
wemedia_only,2025-05-26/2025-06-01,6,0.16666666666666666,0.5
dual,2025-06-02/2025-06-08,3,0.3333333333333333,0.6666666666666666
wemedia_only,2025-06-02/2025-06-08,2,0.0,0.0
dual,2025-06-09/2025-06-15,1,0.0,1.0
wemedia_only,2025-06-09/2025-06-15,2,0.0,0.0
dual,2025-06-16/2025-06-22,1,0.0,0.0
wemedia_only,2025-06-16/2025-06-22,3,0.0,0.0
dual,2025-06-23/2025-06-29,1,0.0,0.0
wemedia_only,2025-06-23/2025-06-29,4,0.0,0.0
wemedia_only,2025-06-30/2025-07-06,4,0.0,0.0
wemedia_only,2025-07-07/2025-07-13,1,1.0,0.0
