treated_id,treat_upgrade,ctrl_upgrade,treat_cooling,ctrl_cooling,treat_stable,ctrl_stable,diff_upgrade,diff_cooling,diff_stable,pair
520,0.5,0.11616161616161617,0.5,0.11616161616161617,0.0,0.734006734006734,0.3838383838383838,0.3838383838383838,-0.734006734006734,dual_vs_mainstream_only
532,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,-0.3333333333333333,0.33333333333333337,dual_vs_mainstream_only
1,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,-0.8666666666666667,dual_vs_wemedia_only
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,dual_vs_wemedia_only
27,0.2857142857142857,0.025157232704402514,0.2857142857142857,0.09182389937106918,0.14285714285714285,0.45786163522012585,0.2605570530098832,0.19389038634321654,-0.315004492362983,dual_vs_wemedia_only
34,0.3333333333333333,0.19565217391304346,0.0,0.19565217391304346,0.0,0.5217391304347826,0.13768115942028986,-0.19565217391304346,-0.5217391304347826,dual_vs_wemedia_only
36,0.25,0.0,0.25,0.4166666666666667,0.5,0.3333333333333333,0.25,-0.16666666666666669,0.16666666666666669,dual_vs_wemedia_only
44,0.0,0.010615711252653927,0.09090909090909091,0.17728237791932058,0.7272727272727273,0.7760084925690022,-0.010615711252653927,-0.08637328701022967,-0.04873576529627488,dual_vs_wemedia_only
53,0.0,0.38888888888888884,0.0,0.1111111111111111,0.0,0.2222222222222222,-0.38888888888888884,-0.1111111111111111,-0.2222222222222222,dual_vs_wemedia_only
70,0.0,0.1553030303030303,0.0,0.28030303030303033,1.0,0.35606060606060613,-0.1553030303030303,-0.28030303030303033,0.6439393939393938,dual_vs_wemedia_only
72,0.25,0.5666666666666667,0.0,0.07407407407407407,0.5,0.05925925925925926,-0.31666666666666665,-0.07407407407407407,0.44074074074074077,dual_vs_wemedia_only
78,0.18181818181818182,0.43333333333333335,0.18181818181818182,0.06666666666666667,0.45454545454545453,0.16666666666666666,-0.2515151515151515,0.11515151515151516,0.28787878787878785,dual_vs_wemedia_only
104,0.25,0.15350877192982457,0.5,0.15350877192982457,0.0,0.24122807017543857,0.09649122807017543,0.3464912280701754,-0.24122807017543857,dual_vs_wemedia_only
114,0.22857142857142856,0.05882352941176471,0.2,0.0784313725490196,0.17142857142857143,0.43137254901960786,0.16974789915966385,0.1215686274509804,-0.25994397759103643,dual_vs_wemedia_only
122,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,-0.3333333333333333,0.0,dual_vs_wemedia_only
124,0.0,0.07407407407407407,0.0,0.40740740740740744,0.0,0.5185185185185185,-0.07407407407407407,-0.40740740740740744,-0.5185185185185185,dual_vs_wemedia_only
127,0.23529411764705882,0.18840579710144925,0.2647058823529412,0.18840579710144925,0.23529411764705882,0.5978260869565217,0.04688832054560957,0.07630008525149193,-0.3625319693094629,dual_vs_wemedia_only
136,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.375,-0.16666666666666666,-0.16666666666666666,0.625,dual_vs_wemedia_only
141,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.33333333333333337,dual_vs_wemedia_only
143,0.0,0.10512820512820513,1.0,0.10512820512820513,0.0,0.7000000000000001,-0.10512820512820513,0.8948717948717949,-0.7000000000000001,dual_vs_wemedia_only
149,0.0,0.3611111111111111,0.0,0.0,1.0,0.3055555555555555,-0.3611111111111111,0.0,0.6944444444444444,dual_vs_wemedia_only
151,0.13043478260869565,0.0784313725490196,0.13043478260869565,0.09803921568627451,0.43478260869565216,0.7058823529411765,0.05200341005967604,0.03239556692242114,-0.27109974424552435,dual_vs_wemedia_only
155,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,-0.6666666666666666,dual_vs_wemedia_only
160,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.4166666666666667,-0.05555555555555555,0.05555555555555555,-0.08333333333333337,dual_vs_wemedia_only
