user_name,out_weight,in_weight,out_neighbors,in_neighbors,total_weight
张博士药食健康,18,0,8,0,18
蘸盐,3,15,3,15,18
25号N的人生,18,0,16,0,18
吉祥8643,18,0,1,0,18
京虎子,3,15,1,13,18
半叽佬虎,18,0,1,0,18
西西弗评论,0,18,0,18,18
狄九,0,18,0,18,18
huabiwei,18,0,13,0,18
乌兰浩特政法,0,18,0,15,18
窗前的kelly,18,0,9,0,18
Kainin20221027,2,16,1,15,18
忘忘,0,18,0,18,18
秦书宝不夜汪,1,16,1,16,17
快乐投资人李伟,0,17,0,17,17
热干面塑料袋,16,1,15,1,17
饺子皮酱,0,17,0,17,17
小小一小丽,17,0,2,0,17
杏林寻道,4,13,1,10,17
锦鲤大王,0,17,0,10,17
包容万物恒河水,0,17,0,17,17
生活小观众,0,17,0,16,17
顽皮的郭贝勒,0,17,0,17,17
制心一处万物同频,17,0,10,0,17
中医医门似海,0,17,0,16,17
齐鲁青未了-3,14,3,8,3,17
开阳县检察院,0,17,0,16,17
盼公道的老阿姨,17,0,1,0,17
传统中医药马强,0,17,0,16,17
sci_accepted爆肝论文版,0,17,0,15,17
竹庄讲道,16,1,10,1,17
齐鲁晚报,0,17,0,16,17
WattHour,0,16,0,16,16
CGTN记者团,0,16,0,16,16
金刀王,1,15,1,14,16
重庆南岸李华兰,16,0,1,0,16
战甲装研菌,6,10,3,5,16
中医吴昌树,3,13,2,11,16
捕捉一只野生章鱼,0,16,0,6,16
幽靈船盛亞,0,16,0,16,16
穆国龙13904582878,16,0,1,0,16
翻转东京在日本,0,16,0,16,16
中医王彤,0,16,0,16,16
t0mbkeeper,0,16,0,16,16
Corbeauclaws,16,0,10,0,16
菜刀曦曦,0,16,0,15,16
蔡子博士,0,16,0,16,16
titandream,16,0,12,0,16
陈震同学,0,16,0,16,16
姚凌宇,0,16,0,16,16
第一球迷胖哥,2,14,2,14,16
青木在德国,0,16,0,10,16
想好了再来改ID,8,8,1,1,16
flex66,16,0,12,0,16
营养师刘遂谦,1,15,1,14,16
范剑平,0,16,0,16,16
非歌如梦,8,8,1,1,16
glance,1,15,1,15,16
Makh_Yan,0,16,0,16,16
周思CIO,0,16,0,16,16
老刘答问,0,16,0,12,16
黑夜之睛滚雪球,0,16,0,16,16
AC蓦然回首,5,11,2,8,16
怡味薯蓣锦,15,0,14,0,15
德国Zoe妈妈,0,15,0,13,15
韩松,0,15,0,14,15
不吃糖不吃糖就是不吃糖,15,0,9,0,15
用户7039290824,15,0,4,0,15
MLRS270,6,9,1,4,15
苗麦吉,15,0,5,0,15
利维坦一号机,0,15,0,15,15
木白弓虽,0,15,0,4,15
中医肖阁敏,3,12,1,9,15
海牛蕾姆,0,15,0,14,15
陇南发布,0,15,0,12,15
