source_user,target_user,weight,n_topic_direct,n_repost_mapped
我是希尔瑞思,林步里,4,3,1
雷神1999,无边桃炎,4,4,0
晓风残月bj,阿司匹林42195米,4,0,4
推广经销版,代县胡永胜,4,0,4
小旅行小旅行,全景网,4,0,4
模_人,模_人,4,4,0
咪渣咪渣咪渣咪渣开飞机的咪渣,生草字幕组,4,0,4
杏林寻道,杏林寻道,4,4,0
杏林蔓草,草民插头,4,4,0
雷神1999,寒江独钓僧,4,4,0
面包子不加杏仁片,生草字幕组,4,1,3
待其来复,大耳朵中医,4,0,4
观自在悟如来,健康中国,4,4,0
爱滴方式2013,人民日报,4,0,4
百事256,生草字幕组,4,0,4
我是希尔瑞思,大公文匯網,4,4,0
我是希尔瑞思,中国日报,4,4,0
托特包的救赎,生草字幕组,4,1,3
看热闹的外星人,江卓尔_大号,4,0,4
胧Tsuki夜,生草字幕组,4,1,3
smile夏荷,大耳朵中医,4,0,4
李塘-生态无添加食品,李塘-生态无添加食品,4,0,4
展书读照颜色,大耳朵中医,4,0,4
青筝313,上帝之鹰_5zn,4,0,4
战甲装研菌,战甲装研菌,4,4,0
feeleurope,青木在德国,4,0,4
lld701108_6d62a7,大耳朵中医,4,0,4
江南小蝶52,江南小蝶52,4,4,0
楊光的易经空间,南海客尘,4,4,0
瘦不了的中医肥猫,瘦不了的中医肥猫,4,4,0
先聚焦后改变,林步里,4,4,0
Fatkeeper,生草字幕组,4,1,3
Chenhaowei要胜,阿司匹林42195米,4,1,3
虚实畛域,得意学堂岱珈,4,0,4
HI小猪2008,锦鲤大王,4,4,0
千江月照海,大耳朵中医,4,0,4
阿莲瑞也,中医田应旭,4,0,4
做不了水仙就蒜了,生草字幕组,4,0,4
RyoKK想暴富,生草字幕组,4,1,3
毛芋头_89300,中医田应旭,4,0,4
心如止水ssll,小蓝和他的朋友日常,4,0,4
咱乃猫是也,生草字幕组,4,0,4
爱学习爱生活爱我,爱学习爱生活爱我,4,4,0
靖默夜月澜,生草字幕组,4,1,3
太白湖环境保护,济宁生态环境,4,0,4
小小小小小淡人,生草字幕组,4,1,3
倾城小女纸,祖传中医肖春林,4,1,3
snownevermelt11,小猪男孩,4,0,4
雷神1999,雷神1999,4,4,0
蜡笔咔咔一,蜡笔咔咔一,4,2,2
陀螺不自转,拍帮主,4,3,1
永远喜欢黑贞,生草字幕组,4,0,4
青青靖,中医田应旭,4,0,4
三思逍遥,三思逍遥,4,1,3
海石花生,飞龙中医,4,0,4
控告_法官代艳春,东明仝建华,4,0,4
千羽明悦,中医田应旭,4,1,3
齐鲁青未了-3,大耳朵中医,4,2,2
小排哥s,大耳朵中医,4,0,4
光线入户,止谣君,4,0,4
海洋馆爱好者,江卓尔_大号,4,0,4
医疗健康版,代县胡永胜,4,0,4
ulanus,生草字幕组,4,0,4
土指甲,生草字幕组,4,0,4
人生若只如初见壮壮,大耳朵中医,4,0,4
榴莲施,中医田应旭,4,0,4
阿司匹林42195米,阿司匹林42195米,4,1,3
INJY6,生草字幕组,4,0,4
青梅糖呀,生草字幕组,4,1,3
艸眀,止谣君,4,0,4
拍帮主,林步里,4,4,0
过函谷关,赤jio熊喵,4,4,0
大酥拿放,生草字幕组,4,1,3
青岛郑浩,用户2733751065,4,4,0
Corbeauclaws,生草字幕组,4,0,4
万里何愁南共北aki,生草字幕组,4,0,4
华_仔的世界,马宝琳谈房颤,4,0,4
机智的蠢N,生草字幕组,4,0,4
真红蔷薇,生草字幕组,4,0,4
御者K,日本傻事,4,0,4
山岚201403,中医田应旭,4,0,4
Bystander_Cr,生草字幕组,4,1,3
小肆在喝水,小肆在喝水,4,0,4
陕西周丽,代县胡永胜,4,0,4
陕西汉书下酒,陕西汉书下酒,4,3,1
紫竹如,明净芷心,4,0,4
SAYONRRA,生草字幕组,4,1,3
十一_2023,止谣君,4,0,4
海棠依旧喜乐,大耳朵中医,4,0,4
随风荡事,中医张恒毅,3,0,3
金牌吃货娜塔莉,生草字幕组,3,0,3
骑鉿,止谣君,3,0,3
金目A梦,生草字幕组,3,0,3
去了再回-HQR,阿司匹林42195米,3,0,3
随风散馥,大耳朵中医,3,0,3
胡思乱想的花,中医田应旭,3,0,3
_苏沐瑶_,星话大白,3,3,0
求其是但嘅Armstrong,香港中通社,3,0,3
牛顿顿的烈焰激光剑,生草字幕组,3,0,3
jackhamy,neoanderson2022,3,3,0
湘微笑9,止谣君,3,0,3
重岳的修勾,生草字幕组,3,1,2
湘微笑9,李爷无为,3,0,3
骑着电动去吹风,中医田应旭,3,0,3
蜜蜡思密达,祖传中医肖春林,3,0,3
金池荷涟涟,马宝琳谈房颤,3,2,1
装点此关山9,林步里,3,3,0
随风荡事,中医刘茜檬,3,0,3
自修齐166,中医范圣华,3,0,3
蝉layaaaa,生草字幕组,3,1,2
拍帮主,三个老爸实验室,3,3,0
光头怪博士,阿司匹林42195米,3,0,3
泗水环境,济宁生态环境,3,0,3
財元亨,中医田应旭,3,0,3
貔恘移山,中医田应旭,3,1,2
切仔1025,江卓尔_大号,3,0,3
宇都,生草字幕组,3,0,3
牛牛de1972,大耳朵中医,3,0,3
不如不曾来,Jokielicious,3,0,3
用户7424751450,DC井是,3,0,3
光在上影在下,生草字幕组,3,0,3
窗前的kelly,生草字幕组,3,1,2
地天泰之,生草字幕组,3,1,2
核聚变ju,陕西汉书下酒,3,1,2
贝勒王·,生草字幕组,3,1,2
linshenjianluyisj,上帝之鹰_5zn,3,0,3
zzlyaly,生草字幕组,3,1,2
优家宾馆,江卓尔_大号,3,0,3
折腰五斗米,中医田应旭,3,1,2
随便冲浪来逛逛,生草字幕组,3,0,3
滞回线lll,生草字幕组,3,0,3
Zg晋K,静姐姐吃的学问,3,0,3
愿宝宝健康快乐幸福,锦鲤大王,3,3,0
野猪_disco,生草字幕组,3,0,3
平淡祥和快乐,飞龙中医,3,0,3
宁静致远19620505,卢卡斯-Wang,3,0,3
溪风ora,生草字幕组,3,0,3
豆豆的口水流下来了,阿司匹林42195米,3,0,3
西北偏东南2020,陕西汉书下酒,3,1,2
园风,中医田应旭,3,1,2
宁津融媒,人民日报,3,2,1
滑头司令51299,江卓尔_大号,3,0,3
穿成反派女配后我暴富了,生草字幕组,3,0,3
爱吃油豆腐的汪酱,生草字幕组,3,0,3
水太深一口闷,生草字幕组,3,0,3
胖胖胖胖念丶,生草字幕组,3,0,3
小潘的生活日记-,针灸匠张宝旬,3,3,0
_王喜喵喵_,生草字幕组,3,1,2
汐宫桃切片,生草字幕组,3,1,2
蜕妈1980,梅子在想什么,3,0,3
羽宫_,生草字幕组,3,0,3
兔八歌66,兔八歌66,3,3,0
囤货猫-,生草字幕组,3,0,3
朕_只是个宝宝,生草字幕组,3,1,2
自在轻安-Lau,生草字幕组,3,0,3
拉拉大黄狗lucky,江卓尔_大号,3,0,3
金池荷涟涟,方脑壳邓铂鋆,3,3,0
宁波中医黄伊森,中医田应旭,3,0,3
金池荷涟涟,得意的弦小二,3,0,3
平安曲靖,云南政法,3,1,2
DOCTTCOD,上帝之鹰_5zn,3,0,3
我的孩子我的光,一支上上签,3,3,0
豆婶儿是只猫,意大利华裔郭医生,3,3,0
Love香港的人,止谣君,3,0,3
拉拉lala尼莫nimo,林步里,3,3,0
愛妳汝笙命,大耳朵中医,3,0,3
夜满月Crystal,生草字幕组,3,1,2
豆子连连看,上帝之鹰_5zn,3,0,3
翋LERCHE翄,生草字幕组,3,0,3
自在静水,得意的弦小二,3,0,3
我的孩子我的光,注生娘娘,3,3,0
马思特99,新浪健康派,3,3,0
犟51460,得意的弦小二,3,0,3
露丝小师哥,人民日报健康客户端,3,3,0
抢走猫猫的小奶瓶,生草字幕组,3,1,2
白焚_,生草字幕组,3,1,2
汉唐长安中医郭仲凯,陶唐中医TaotangTCM,3,3,0
ALEX-SJ,生草字幕组,3,1,2
吃海鲜的小丸子,梅子在想什么,3,0,3
无角螭,生草字幕组,3,0,3
啃月-凉拌见手青,生草字幕组,3,1,2
琥珀微笑的眼睛,生草字幕组,3,0,3
Meowskey,中医田应旭,3,1,2
悦学益进,大耳朵中医,3,0,3
易半寒,生草字幕组,3,0,3
小虎吉,生草字幕组,3,1,2
Dreamingsleeper,漫画无聊的冰块,3,0,3
ykcci,生草字幕组,3,0,3
商洛商州检察,陕西检察,3,0,3
商贸城连销,代县胡永胜,3,0,3
姬里姬气aka,生草字幕组,3,0,3
您好我是美羊羊公主_,生草字幕组,3,1,2
罗百竹,翟医师,3,3,0
小羊没胡子,生草字幕组,3,1,2
郑了个总,中医田应旭,3,0,3
imisswater03,中医田应旭,3,0,3
盖世英雄玉椒龙,盖世英雄玉椒龙,3,3,0
圆环之手,Creamy蕉,3,0,3
郭珺茹健康顺利平安,中医田应旭,3,0,3
不再是小编了,中医田应旭,3,1,2
爱梅家的翅膀君,生草字幕组,3,0,3
雨山-hk,生草字幕组,3,1,2
用户7039290824,中医田应旭,3,0,3
松泥沼中的流,生草字幕组,3,0,3
庞亚辉的海阔天空,子陵在听歌,3,3,0
yo柚子蜜,生草字幕组,3,0,3
制心一处万物同频,生草字幕组,3,0,3
第99街,阿司匹林42195米,3,0,3
九九_75209,中医刘茜檬,3,0,3
贺州反邪,广西反邪教,3,1,2
九九_75209,中医田应旭,3,0,3
袁渊博士,Jokielicious,3,0,3
胶佬WJ,生草字幕组,3,0,3
水间包包,生草字幕组,3,1,2
仝华,东明仝建华,3,0,3
huabiwei,得意的弦小二,3,0,3
小葉有囍,生草字幕组,3,0,3
MiliTracy2014,大耳朵中医,3,0,3
皖诤芸依,生草字幕组,3,1,2
力儿的妈2010,保险狂人-于文博,3,1,2
yixiuge789,陕西汉书下酒,3,0,3
huabiwei,中医田应旭,3,1,2
皇汉1976,拍帮主,3,3,0
那砸斑马,Creamy蕉,3,0,3
