source_uid,status,n_pages,n_edges,endpoint,error
1858036904,ok,10,187,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1858109402,ok,10,196,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1866739325,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1875688327,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=用户不存在(20003) url=
1877928555,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1888494957,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1911240285,ok,6,80,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1922251677,ok,10,184,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1926815681,ok,10,179,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1937505557,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1960581600,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1995909097,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2037877592,ok,10,186,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2039145047,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2055344694,ok,10,103,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2058930502,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2079631622,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2096535127,ok,10,184,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2108237403,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2114265433,ok,4,24,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2115255781,ok,10,188,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2118552594,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2168950451,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2183567471,ok,8,126,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2185721183,ok,7,102,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2185754751,ok,10,198,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2195584514,ok,10,188,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2209827594,ok,3,20,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2237901712,ok,7,99,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2249369141,ok,10,191,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
